철도운영기관명,선명,역명,역간거리,역명_clean,순서,전역,역간거리(km),소요시간(초),소요시간,전역_clean
서울교통공사,9호선,개화,0.0,개화,0,,0.0,0.0,0,
서울교통공사,9호선,김포공항,3.6,김포공항,1,개화,3.6,494.6564885496183,494,개화
서울교통공사,9호선,공항시장,0.8,공항시장,2,김포공항,0.8,109.9236641221374,109,김포공항
서울교통공사,9호선,신방화,0.8,신방화,3,공항시장,0.8,109.9236641221374,109,공항시장
서울교통공사,9호선,마곡나루(서울식물원),0.9,마곡나루,4,신방화,0.9,123.66412213740458,123,신방화
서울교통공사,9호선,양천향교,1.4,양천향교,5,마곡나루(서울식물원),1.4,192.3664122137405,192,마곡나루
서울교통공사,9호선,가양,1.3,가양,6,양천향교,1.3,178.6259541984733,178,양천향교
서울교통공사,9호선,증미,0.7,증미,7,가양,0.7,96.18320610687024,96,가양
서울교통공사,9호선,등촌,1.0,등촌,8,증미,1.0,137.40458015267177,137,증미
서울교통공사,9호선,염창,0.9,염창,9,등촌,0.9,123.66412213740458,123,등촌
서울교통공사,9호선,신목동,0.9,신목동,10,염창,0.9,123.66412213740458,123,염창
서울교통공사,9호선,선유도,1.2,선유도,11,신목동,1.2,164.8854961832061,164,신목동
서울교통공사,9호선,당산,1.0,당산,12,선유도,1.0,137.40458015267177,137,선유도
서울교통공사,9호선,국회의사당,1.5,국회의사당,13,당산,1.5,206.10687022900763,206,당산
서울교통공사,9호선,여의도,0.9,여의도,14,국회의사당,0.9,123.66412213740458,123,국회의사당
서울교통공사,9호선,샛강,0.8,샛강,15,여의도,0.8,109.9236641221374,109,여의도
서울교통공사,9호선,노량진,1.2,노량진,16,샛강,1.2,164.8854961832061,164,샛강
서울교통공사,9호선,노들,1.1,노들,17,노량진,1.1,151.14503816793894,151,노량진
서울교통공사,9호선,흑석(중앙대입구),1.1,흑석,18,노들,1.1,151.14503816793894,151,노들
서울교통공사,9호선,동작(현충원),1.4,동작,19,흑석(중앙대입구),1.4,192.3664122137405,192,흑석
서울교통공사,9호선,구반포,1.0,구반포,20,동작(현충원),1.0,137.40458015267177,137,동작
서울교통공사,9호선,신반포,0.7,신반포,21,구반포,0.7,96.18320610687024,96,구반포
서울교통공사,9호선,고속터미널,0.8,고속터미널,22,신반포,0.8,109.9236641221374,109,신반포
서울교통공사,9호선,사평,1.1,사평,23,고속터미널,1.1,151.14503816793894,151,고속터미널
서울교통공사,9호선,신논현(르메르디앙호텔),0.9,신논현,24,사평,0.9,123.66412213740458,123,사평
서울교통공사,9호선,언주(강남차병원),0.8,언주,25,신논현(르메르디앙호텔),0.8,109.9236641221374,109,신논현
서울교통공사,9호선,선정릉,0.9,선정릉,26,언주(강남차병원),0.9,123.66412213740458,123,언주
서울교통공사,9호선,삼성중앙,0.8,삼성중앙,27,선정릉,0.8,109.9236641221374,109,선정릉
서울교통공사,9호선,봉은사,0.8,봉은사,28,삼성중앙,0.8,109.9236641221374,109,삼성중앙
서울교통공사,9호선,종합운동장,1.4,종합운동장,29,봉은사,1.4,192.3664122137405,192,봉은사
서울교통공사,9호선,삼전,1.4,삼전,30,종합운동장,1.4,192.3664122137405,192,종합운동장
서울교통공사,9호선,석촌고분,0.8,석촌고분,31,삼전,0.8,109.9236641221374,109,삼전
서울교통공사,9호선,석촌,1.0,석촌,32,석촌고분,1.0,137.40458015267177,137,석촌고분
서울교통공사,9호선,송파나루,0.8,송파나루,33,석촌,0.8,109.9236641221374,109,석촌
서울교통공사,9호선,한성백제,0.8,한성백제,34,송파나루,0.8,109.9236641221374,109,송파나루
서울교통공사,9호선,올림픽공원(한국체대),1.4,올림픽공원,35,한성백제,1.4,192.3664122137405,192,한성백제
서울교통공사,9호선,둔촌오륜,1.0,둔촌오륜,36,올림픽공원(한국체대),1.0,137.40458015267177,137,올림픽공원
서울교통공사,9호선,중앙보훈병원,1.7,중앙보훈병원,37,둔촌오륜,1.7,233.587786259542,233,둔촌오륜
